image_k_minus feature_k_minus_x_coord feature_k_minus_y_coord image_k feature_k_x_coord feature_k_y_coord 3d_world_pt_x 3d_world_pt_y 3d_world_pt_z
2 582.267 213.996 3 582.267 213.996 -2.69823 4.02223 19.7752
2 716.636 338.412 3 719.125 338.412 -10.4848 -1.10164 28.5573
2 77.1379 333.435 3 89.5795 333.435 27.9116 -0.66363 29.9835
2 905.749 166.717 3 923.167 166.717 -68.4441 28.0643 101.004
2 201.554 430.479 3 196.992 430.479 6.36986 -2.41275 10.971
2 659.405 301.087 3 669.358 301.087 -15.4383 2.18298 65.9907
2 920.679 293.622 3 940.585 293.622 -70.2555 4.21335 99.9844
2 82.1146 492.687 3 77.1379 492.687 6.7391 -2.94136 8.4104
2 440.433 440.433 3 430.479 440.433 0.880647 -2.4831 10.5436
2 793.774 515.082 3 778.844 515.082 -5.04402 -2.96997 8.0667
2 445.409 216.484 3 455.363 216.484 27.8707 29.7384 145.733
2 786.309 216.484 3 798.751 216.484 -34.8575 14.1736 74.5322
2 853.494 174.182 3 868.424 174.182 -48.2852 21.8973 82.1529
2 589.732 233.902 3 589.732 233.902 -2.99455 3.29404 20.0048
2 537.477 358.318 3 537.477 358.318 -0.961175 -1.44262 19.1492
2 512.594 114.463 3 512.594 114.463 -0.175849 7.20367 17.9936
2 403.108 425.503 3 393.155 425.503 1.59087 -2.12448 10.2834
2 398.131 430.479 3 388.178 430.479 1.6879 -2.2215 10.2606
2 497.664 102.021 3 497.664 102.021 0.316499 7.52353 17.675
2 211.507 432.968 3 207.36 432.968 6.03568 -2.43252 10.8222
2 572.314 199.066 3 572.314 199.066 -2.31086 4.53802 19.502
2 169.206 522.547 3 156.764 522.547 4.45844 -3.06213 7.52344
2 136.858 189.112 3 151.788 189.112 41.1957 13.8447 50.4708
2 185.131 274.711 3 194.089 274.711 24.7954 3.41659 35.3501
2 836.076 295.612 3 851.006 295.612 -48.0476 3.47367 86.6871
2 848.02 253.809 3 862.95 253.809 -47.9808 9.81585 83.18
2 859.964 182.145 3 874.894 182.145 -49.114 20.6024 81.9584
2 397.136 319.5 3 403.108 319.5 11.7592 0.0732938 43.8902
2 785.314 217.977 3 797.258 217.977 -34.6811 13.9501 74.4429
2 764.412 214.991 3 777.55 214.991 -41.7664 19.1229 98.6612
2 370.262 444.912 3 361.304 444.912 2.23875 -2.4994 10.1767
2 564.351 340.402 3 564.351 340.402 -2.17028 -1.05657 25.7726
2 164.229 235.893 3 176.173 235.893 43.6972 10.1514 57.4149
2 540.463 364.29 3 540.463 364.29 -1.06931 -1.6728 19.2349
2 534.491 367.276 3 534.491 367.276 -0.848491 -1.77308 19.1153
2 525.533 388.178 3 525.533 388.178 -0.643646 -2.14717 16.1172
2 214.991 528.519 3 200.061 528.519 3.57458 -3.04503 7.30318
2 512.395 369.068 3 512.395 369.068 -0.056147 -1.79471 18.6579
2 555.393 340.402 3 555.393 340.402 -1.63581 -0.792331 19.4882
2 222.157 189.909 3 236.49 189.909 71.1922 29.4586 109.901
2 580.475 225.74 3 580.475 225.74 -2.6558 3.65586 20.2239
