num_cameras num_3d_landmarks num_observations
10 300 1084
-59.9036 23.3161 86.1765
-2.41484 2.86361 19.6534
-1.20179 5.55519 18.7612
2.45795 -2.47694 10.2304
-59.95 6.21708 87.6815
5.33701 0.698708 23.0823
3.12048 -2.34991 10.1931
1.14559 -2.32789 10.5312
-59.5761 8.55334 87.1826
-69.8777 28.7392 99.5276
29.2994 5.50321 33.172
-59.3582 19.4074 86.1414
3.00448 -2.31614 10.1942
-49.6132 7.55019 82.2119
-0.0348643 6.86478 17.9834
-49.675 22.4979 80.9383
-50.3544 21.6342 80.753
-70.9244 5.162 106.758
27.3798 1.9157 29.6856
1.99245 -2.34986 10.2793
-0.505987 -0.11476 18.7574
0.0131619 6.8581 17.9645
-0.556763 -0.0516942 18.7714
-2.50243 -1.05688 25.7302
-2.72053 3.71061 19.8888
-10.7853 -1.03038 28.0871
-2.91323 3.3265 19.9017
1.06882 -2.48035 10.5676
-2.80168 4.25834 19.7533
2.44324 -2.55658 10.2361
-0.422997 -1.67333 18.8578
-1.64592 -0.776307 19.4541
-42.8139 1.23311 61.012
-50.0877 19.1847 80.9727
-3.10218 3.47576 19.9874
-50.2069 25.29 80.4323
-2.68184 3.9279 19.7145
-2.79866 3.6305 19.9657
-59.8183 8.56706 87.3294
29.0517 -0.607981 33.2013
3.38004 -1.91616 10.1437
0.124082 -1.70259 18.5613
28.9366 -0.717551 32.9932
-2.63467 3.99071 19.685
-31.8571 14.1694 71.4017
1.14754 -0.853829 18.7575
-1.08963 -2.7895 8.77394
-2.67508 3.68117 20.1047
-2.85227 3.60459 19.9172
-4.80384 -2.9566 7.94872
-30.3362 0.713547 52.2501
4.24666 8.46112 23.0121
3.25532 -1.86048 10.1454
-1.45409 5.28762 18.9102
-69.9611 28.3644 99.6481
-2.72346 3.45636 20.1087
-1.52881 5.33358 18.9476
4.00262 -2.0859 10.2109
-60.0591 21.9683 86.2845
99.3984 26.9798 152.478
-59.8514 7.91821 87.4584
-70.7622 6.78224 106.848
-70.7901 4.62026 107.264
2.54628 -2.33791 10.2153
4.41463 7.56291 23.0401
3.89322 -2.07302 10.1901
5.35636 -2.4841 10.5567
-59.9744 20.5789 86.2696
-1.44083 -1.18964 19.3757
-49.5599 17.096 81.4295
-59.6814 19.1249 86.2471
0.287093 -1.85784 18.4692
63.5056 26.9534 115.21
-1.5508 -0.973932 19.3984
